"Method","Mean_Abs_SMD","Max_Abs_SMD","Control","Treated"
"adap_weight_trunc_ebal_weight",0.144351253182349,0.265813318340968,661.991664304764,445
"adap_weight_trunc_ipw_weight",0.108541186451902,0.209429490310526,579.762162459907,445
"adap_weight_trunc_opt_weight",0.997993091359729,3.89521353172181,15992,445
"adap_weight_trunc_overlap_weight",0.124363972583794,0.312709156532197,934.458363612006,413.390324991954
"adap_weight_trunc_smr_weight",0.63652668078574,2.88573433920864,15140.220751571,61.8610060895407
"All",NA,NA,15992,445
"at_perc_trunc_ebal_weight",0.175332712132565,0.348798265398472,801.591956979907,445
"at_perc_trunc_ipw_weight",0.102048868815949,0.195267590214238,553.723124982718,445
"at_perc_trunc_opt_weight",0.997993091359729,3.89521353172181,15992,445
"at_perc_trunc_overlap_weight",0.0302495940998011,0.0817005088597158,705.878708151605,357.750532419452
"at_perc_trunc_smr_weight",0.895716188603093,3.58888688539201,15579.2254198311,374.883450229418
"caliper",0.0223614870143148,0.0656108597285067,72.6260223048327,442
"card",0.0549850601091605,0.0999272328463254,389,389
"cem",0.00454192582490251,0.0284665187893032,80.2983746302836,211
"common_range",0.496573962013345,1.43683847081641,5102,445
"crump",0.210438095991738,0.63047436858535,501,341
"cS",0.022896052532904,0.0651685393258427,71.9306211405739,445
"ebal_weight",6.23556078376137e-06,3.2777194254187e-05,217.22004768884,445
"exact",1.2335811384724e-17,1.11022302462516e-16,37.7838314622248,78
"fix_max_value_trunc_ebal_weight",0.22064220661981,0.498054303102482,1085.38930358125,445
"fix_max_value_trunc_ipw_weight",0.0378293974594678,0.22843572112412,212.117178299382,445
"fix_max_value_trunc_opt_weight",0.997993091359729,3.89521353172181,15992,445
"fix_max_value_trunc_overlap_weight",7.18669818224402e-09,3.91292624208428e-08,674.493073108318,332.660781666067
"fix_max_value_trunc_smr_weight",0.807166871272489,3.31364810251095,15140.220751571,241.37048292485
"gen_full",0.0261879263804399,0.0677102559381252,82.5174807744928,445
"genetic",0.00750618816443183,0.0388718109533655,62.8850428707526,445
"ipw_weight",0.0378293974594678,0.22843572112412,212.117178299382,445
"k2",0.0218564224718909,0.0561797752808989,96.69189453125,445
"k3",0.026660914993332,0.0621722846441948,114.29647918938,445
"mahvars",0.0501032678198218,0.156977325360907,288,288
"nn",0.022896052532904,0.0651685393258427,71.9306211405739,445
"opt_weight",0.997993091359729,3.89521353172181,15992,445
"optimal_full",0.0240557106657976,0.0581283115239539,72.2273853998417,445
"optimal_pair",0.144185389560112,0.204494382022472,445,445
"original",0.997993091359729,3.89521353172181,15992,445
"overlap_weight",7.18669818224402e-09,3.91292624208428e-08,674.493073108318,332.660781666067
"profile",0.163589162778379,0.267578903458717,445,445
"ps_threshold",0.112394131222707,0.368470589859293,164,164
"smr_ate_weight",NA,-Inf,15992,445
"smr_weight",0.324826089312751,1.23592256066858,15140.220751571,5.92669030029182
"stuermer",0.137739023109237,0.399102948001965,538,14
"subcl",0.146571925201439,0.601774693118718,267.064291325051,445
"walker",0.114999286870692,0.410769075756292,1010,24
