"(A) LDW-Experimental","","(B) LDW-CPS1","","(C) LDW-PSID1","","(D) Trimmed LDW-CPS1 ","","(E) Trimmed LDW-PSID1","","(F) Top CPS1: card","","(G) Top CPS1: mahvars","","(H) Top CPS1: overlap_crump","","(I) Top CPS1: ps_threshold","","(J) Top CPS1: optimal_pair","","(K) Top PSID1: card","","(L) Top PSID1: mahvars","","(M) Top PSID1: overlap_crump","","(N) Top PSID1: ps_threshold","","(O) Top PSID1: fix_max_value_trunc.psid_plus_overlap_weight",""
"1794.34","(670.82)","-8497.52","(581.92)","-15204.78","(655.91)","869.94","(823.56)","-1475.13","(1229.46)","214.16","(475.53)","-265.18","(535.18)","-5037.25","(330.74)","869.94","(823.56)","-267.27","(448.21)","-601.80","(964.55)","-1636.51","(928.51)","-6149.48","(564.53)","-1475.13","(1229.46)","-16253.16","(442.57)"
"1794.34","(670.82)","-8497.52","(581.92)","-15204.78","(655.91)","869.94","(823.56)","-1475.13","(1229.46)","214.16","(475.53)","-265.18","(535.18)","-5037.25","(330.74)","869.94","(823.56)","-267.27","(448.21)","-601.80","(964.55)","-1636.51","(928.51)","-6149.48","(564.53)","-1475.13","(1229.46)","-16253.16","(442.57)"
"1670.71","(680.20)","1066.38","(626.85)","4.16","(854.15)","1378.47","(829.00)","-2436.99","(1150.55)","369.99","(449.49)","-252.44","(507.35)","-4.08","(397.27)","1378.47","(829.00)","295.33","(451.21)","-578.51","(917.92)","-1523.73","(878.90)","-52.01","(849.31)","-2436.99","(1150.55)","-1274.03","(707.03)"
"1706.20","(587.94)","1133.28","(624.26)","687.82","(635.26)","1157.36","(684.52)","-2401.23","(1044.78)","410.61","(385.09)","-166.50","(419.49)","121.42","(351.89)","1157.36","(684.52)","599.45","(347.62)","-751.82","(668.11)","-1570.74","(726.93)","1697.87","(418.17)","-2401.23","(1044.78)","-292.44","(357.26)"
"1801.05","(582.18)","1081.95","(629.30)","721.92","(634.87)","1229.38","(669.12)","-1710.92","(782.83)","526.50","(372.26)","-255.23","(395.59)","157.93","(351.85)","1242.87","(669.52)","473.89","(336.57)","-584.72","(552.03)","-1478.96","(644.89)","-290.26","(409.08)","-1733.26","(778.73)","-23.00","(357.72)"
"1757.17","(764.06)","1729.12","(815.38)","2255.47","(1403.83)","1429.47","(933.65)","-2334.40","(1270.23)","426.74","(641.43)","-202.91","(592.72)","567.50","(633.34)","1429.47","(933.65)","487.34","(649.91)","-657.64","(916.07)","-1436.71","(987.36)","1257.03","(1066.76)","-2334.40","(1270.23)","1404.23","(1277.29)"
"1592.27","(688.47)","1383.29","(747.11)","2225.07","(762.20)","632.30","(829.05)","-2448.91","(1265.25)","571.54","(472.41)","-184.49","(529.51)","80.32","(421.29)","640.27","(828.75)","611.20","(419.06)","-1367.39","(1175.96)","-1732.64","(909.18)","1206.20","(501.93)","-2448.91","(1265.25)","1365.29","(428.02)"
"1786.59","(681.13)","1236.84","(687.14)","739.34","(893.32)","1142.68","(807.38)","-2252.99","(1305.74)","214.16","(475.53)","-265.18","(535.18)","231.64","(579.43)","1142.68","(807.38)","-267.27","(448.21)","-601.80","(964.55)","-1636.51","(928.51)","27.28","(803.92)","-2252.99","(1305.74)","243.06","(821.42)"
"1709.55","(699.04)","1408.58","(654.91)","2437.70","(877.80)","1148.77","(826.82)","-2779.81","(1357.61)","214.16","(475.53)","-265.18","(535.18)","325.42","(469.71)","1148.77","(826.82)","-267.27","(448.21)","-601.80","(964.55)","-1636.51","(928.51)","1092.70","(797.39)","-2779.81","(1357.61)","1176.29","(834.96)"
"1712.12","(699.26)","1406.27","(654.93)","2420.49","(876.85)","1057.47","(865.60)","-2905.54","(1456.03)","381.53","(489.72)","-178.85","(550.29)","322.37","(469.32)","1057.47","(865.60)","463.11","(482.64)","-706.21","(1043.24)","-1597.46","(947.90)","1357.58","(784.72)","-2905.54","(1456.03)","1691.35","(790.74)"
"1960.99","(682.98)","1068.62","(627.81)","91.01","(861.30)","1368.30","(811.70)","-2848.18","(1158.88)","455.42","(449.47)","-317.89","(510.14)","-0.21","(396.68)","1368.30","(811.70)","362.38","(447.22)","-725.26","(862.38)","-1496.09","(871.83)","2.27","(848.19)","-2848.18","(1158.88)","-1307.44","(704.34)"
"1792.04","(689.48)","1571.17","(703.86)","1422.82","(772.78)","1303.37","(801.35)","-2383.17","(1237.18)","632.08","(664.56)","-253.86","(551.28)","518.57","(641.25)","1303.37","(801.35)","836.28","(575.14)","-1068.41","(1228.42)","-1596.04","(957.98)","156.43","(640.87)","-2383.17","(1237.18)","823.24","(645.47)"
"1849.98","(681.08)","1388.46","(689.65)","1340.39","(755.26)","1252.25","(812.02)","-2219.33","(1281.02)","731.33","(531.84)","-174.16","(555.04)","411.21","(537.49)","1252.25","(812.02)","554.95","(659.17)","-809.22","(1110.85)","-1523.36","(943.20)","350.09","(526.13)","-2219.33","(1281.02)","986.18","(733.11)"
