"(A) LDW-Experimental","","(B) LDW-CPS1","","(C) LDW-PSID1","","(D) Trimmed LDW-CPS1 ","","(E) Trimmed LDW-PSID1","","(F) Top CPS1: card","","(G) Top CPS1: mahvars","","(H) Top CPS1: overlap_crump","","(I) Top CPS1: ps_threshold","","(J) Top CPS1: optimal_pair","","(K) Top PSID1: card","","(L) Top PSID1: mahvars","","(M) Top PSID1: ps_threshold","","(N) Top PSID1: fix_max_value_trunc.psid_plus_overlap_weight","","(O) Top PSID1: overlap_weight",""
"1794.34","(670.82)","-8497.52","(581.92)","-15204.78","(655.91)","1628.81","(836.69)","-3057.24","(1404.87)","468.44","(467.88)","121.89","(570.87)","-3845.40","(336.25)","1628.81","(836.69)","-43.20","(438.92)","-395.93","(952.38)","-1563.33","(931.64)","-3057.24","(1404.87)","-16253.16","(442.57)","-16253.16","(442.57)"
"1794.34","(670.82)","-8497.52","(581.92)","-15204.78","(655.91)","1628.81","(836.69)","-3057.24","(1404.87)","468.44","(467.88)","121.89","(570.87)","-3845.40","(336.25)","1628.81","(836.69)","-43.20","(438.92)","-395.93","(952.38)","-1563.33","(931.64)","-3057.24","(1404.87)","-16253.16","(442.57)","-16253.16","(442.57)"
"1605.52","(665.93)","1484.61","(631.51)","1227.70","(892.77)","2250.99","(848.03)","-3177.54","(1394.56)","610.54","(450.71)","184.49","(534.68)","-17.29","(403.67)","2250.99","(848.03)","439.83","(454.63)","-77.68","(816.15)","-1207.56","(860.69)","-3177.54","(1394.56)","-191.13","(720.76)","-191.13","(720.76)"
"1709.79","(587.92)","1553.68","(621.16)","2052.84","(644.01)","2118.88","(683.00)","-3066.01","(1129.30)","748.68","(383.40)","314.11","(460.33)","114.01","(342.52)","2118.88","(683.00)","680.25","(342.85)","-120.36","(571.08)","-1085.80","(699.75)","-3066.01","(1129.30)","1116.83","(362.05)","1116.83","(362.05)"
"1748.43","(582.00)","1096.30","(625.19)","465.52","(635.84)","1733.32","(686.74)","-2755.85","(798.25)","843.99","(367.47)","130.78","(450.88)","135.60","(343.88)","1712.45","(686.38)","428.00","(333.84)","-299.60","(533.91)","-1661.40","(628.86)","-2743.09","(803.81)","-334.02","(352.61)","-308.29","(353.81)"
"1583.55","(785.15)","1591.49","(832.21)","2174.97","(1575.49)","2217.12","(960.87)","-2578.27","(1318.74)","492.99","(647.89)","119.44","(645.62)","409.32","(632.44)","2217.12","(960.87)","667.85","(626.84)","-112.92","(931.64)","-1265.98","(977.14)","-2578.27","(1318.74)","1519.05","(1274.41)","1519.05","(1274.41)"
"2353.36","(667.85)","1213.79","(763.49)","1205.23","(842.64)","1367.52","(837.49)","-2502.76","(1242.45)","1229.45","(442.84)","242.10","(560.43)","20.37","(437.62)","1390.76","(837.88)","490.36","(420.73)","-1255.17","(1174.07)","-1543.42","(915.78)","-2502.76","(1242.45)","1261.21","(421.64)","1211.97","(435.07)"
"1799.02","(681.37)","1206.29","(681.86)","773.36","(924.97)","1677.60","(823.06)","-2855.68","(1486.04)","468.44","(467.88)","121.89","(570.87)","-151.86","(517.32)","1677.60","(823.06)","-43.20","(438.92)","-395.93","(952.38)","-1563.33","(931.64)","-2855.68","(1486.04)","562.25","(897.22)","-999.49","(735.80)"
"1699.09","(699.19)","1494.05","(652.71)","2359.12","(873.16)","2056.20","(805.21)","-2759.78","(1405.47)","468.44","(467.88)","121.89","(570.87)","409.65","(464.46)","2056.20","(805.21)","-43.20","(438.92)","-395.93","(952.38)","-1563.33","(931.64)","-2759.78","(1405.47)","1366.58","(765.71)","-999.49","(735.80)"
"1701.38","(699.39)","1492.13","(652.66)","2424.45","(875.94)","2103.94","(807.96)","-3219.01","(1912.83)","708.63","(469.88)","314.39","(569.21)","406.50","(464.64)","2103.94","(807.96)","569.38","(486.13)","-157.02","(820.50)","-1116.23","(890.29)","-3219.01","(1912.83)","1863.97","(733.65)","1863.97","(733.65)"
"1831.36","(653.57)","1497.70","(632.53)","1286.02","(897.44)","2157.00","(832.85)","-3445.01","(1585.75)","497.78","(448.06)","101.47","(529.76)","21.35","(403.09)","2157.00","(832.85)","467.53","(453.89)","-48.19","(834.13)","-1162.36","(853.98)","-3445.01","(1585.75)","-234.66","(716.61)","-234.66","(716.61)"
"1798.74","(685.15)","1742.63","(714.69)","1391.99","(869.41)","1858.35","(798.49)","-2609.24","(1364.48)","876.72","(598.70)","134.97","(576.34)","242.66","(744.72)","1858.35","(798.49)","714.18","(606.39)","-755.09","(1236.36)","-1782.55","(977.70)","-2609.24","(1364.48)","816.52","(703.72)","816.52","(703.72)"
"1834.13","(682.78)","1455.00","(686.89)","1222.19","(785.87)","1975.15","(819.39)","-2340.60","(1381.27)","862.86","(532.86)","194.47","(580.18)","325.73","(495.79)","1975.15","(819.39)","771.62","(514.22)","-227.20","(996.38)","-1776.13","(968.96)","-2340.60","(1381.27)","1389.83","(886.23)","1389.83","(886.23)"
