"(A) LDW-Experimental","","(B) LDW-CPS1","","(C) LDW-PSID1","","(D) Trimmed LDW-CPS1 ","","(E) Trimmed LDW-PSID1","","(F) Top CPS1: card","","(G) Top CPS1: mahvars","","(H) Top CPS1: overlap_crump","","(I) Top CPS1: ps_threshold","","(J) Top CPS1: optimal_pair","","(K) Top PSID1: card","","(L) Top PSID1: mahvars","","(M) Top PSID1: ps_threshold","","(N) Top PSID1: fix_max_value_trunc.psid_plus_overlap_weight","","(O) Top PSID1: overlap_weight",""
"265.15","(305.00)","-12118.75","(247.18)","-17531.28","(360.60)","-688.88","(468.93)","-489.18","(689.60)","-293.01","(252.28)","52.41","(303.29)","-4527.42","(180.89)","-688.88","(468.93)","-556.64","(229.22)","-303.57","(453.53)","-624.00","(655.31)","-489.18","(689.60)","-17686.20","(310.72)","-17686.20","(310.72)"
"265.15","(305.00)","-12118.75","(247.18)","-17531.28","(360.60)","-688.88","(468.93)","-489.18","(689.60)","-293.01","(252.28)","52.41","(303.29)","-4527.42","(180.89)","-688.88","(468.93)","-556.64","(229.22)","-303.57","(453.53)","-624.00","(655.31)","-489.18","(689.60)","-17686.20","(310.72)","-17686.20","(310.72)"
"224.34","(218.33)","-1134.82","(272.44)","-2757.40","(589.02)","-571.77","(306.41)","207.95","(679.66)","-478.10","(200.56)","-64.30","(215.16)","-3154.96","(219.14)","-571.77","(306.41)","-264.44","(186.82)","-428.28","(382.30)","-468.12","(483.80)","207.95","(679.66)","-3006.44","(512.93)","-3006.44","(512.93)"
"165.70","(284.98)","-1096.70","(395.18)","-2640.76","(367.46)","-632.58","(375.89)","302.14","(582.10)","-698.16","(238.12)","-110.42","(284.29)","-3191.27","(234.23)","-632.58","(375.89)","-502.54","(211.06)","-514.55","(392.91)","-550.34","(570.06)","302.14","(582.10)","-2717.06","(248.87)","-2717.06","(248.87)"
"103.75","(284.14)","-1586.50","(372.94)","-4258.24","(344.35)","-540.78","(334.42)","-284.68","(518.28)","-437.44","(203.36)","-10.04","(256.23)","-1597.02","(240.67)","-517.57","(331.91)","-347.49","(186.22)","-24.06","(385.09)","-574.29","(524.49)","-274.84","(517.49)","-4534.55","(230.33)","-4397.82","(231.96)"
"148.67","(227.58)","-1465.93","(351.78)","-1913.65","(805.37)","-669.29","(335.56)","47.67","(575.30)","-717.15","(279.17)","-110.87","(238.35)","-1610.24","(303.86)","-669.29","(335.56)","-739.24","(258.12)","-178.17","(493.71)","-543.16","(469.79)","47.67","(575.30)","-1931.45","(856.38)","-1931.45","(856.38)"
"382.20","(309.78)","-1456.77","(422.76)","-2766.44","(493.56)","-782.09","(467.93)","-222.13","(642.64)","-547.74","(251.65)","-80.56","(304.64)","-1290.86","(255.42)","-781.79","(467.86)","-190.42","(203.09)","-2.93","(399.40)","-457.12","(617.06)","-222.13","(642.64)","-2491.57","(293.65)","-2421.79","(290.91)"
"166.79","(311.25)","-1568.77","(337.54)","-3183.02","(734.24)","-740.36","(445.58)","-180.77","(714.18)","-293.01","(252.28)","52.41","(303.29)","-1610.74","(314.64)","-740.36","(445.58)","-556.64","(229.22)","-303.57","(453.53)","-624.00","(655.31)","-180.77","(714.18)","-2582.29","(865.73)","-0.00","(567.47)"
"188.34","(304.79)","-1228.74","(297.88)","-2302.41","(833.81)","-619.45","(451.28)","170.43","(725.29)","-293.01","(252.28)","52.41","(303.29)","-1358.55","(245.55)","-619.45","(451.28)","-556.64","(229.22)","-303.57","(453.53)","-624.00","(655.31)","170.43","(725.29)","-2375.70","(946.53)","-0.00","(567.47)"
"189.20","(304.71)","-1228.49","(297.88)","-2250.80","(842.15)","-610.37","(449.26)","340.06","(815.15)","-670.12","(319.54)","-87.65","(359.24)","-1348.53","(245.28)","-610.37","(449.26)","-453.47","(283.66)","-455.32","(490.92)","-551.84","(654.60)","340.06","(815.15)","-2227.14","(899.13)","-2227.14","(899.13)"
"275.69","(231.57)","-1152.96","(271.75)","-2725.28","(591.57)","-623.50","(321.11)","386.29","(645.63)","-459.54","(203.06)","-38.00","(218.50)","-3152.52","(219.29)","-623.50","(321.11)","-270.86","(186.59)","-407.33","(379.96)","-513.46","(485.27)","386.29","(645.63)","-2964.43","(510.26)","-2964.43","(510.26)"
"99.52","(228.80)","-1275.34","(262.33)","-2506.00","(620.09)","-678.74","(335.94)","-108.94","(644.51)","-434.04","(269.80)","-22.16","(233.97)","-1346.89","(232.96)","-678.74","(335.94)","-468.69","(226.75)","-72.87","(373.56)","-585.71","(489.41)","-108.94","(644.51)","-2033.23","(857.19)","-2033.23","(857.19)"
"109.31","(233.28)","-1326.58","(276.65)","-2872.52","(684.52)","-583.97","(339.86)","297.92","(722.09)","-420.43","(304.31)","-66.44","(246.53)","-1424.14","(217.92)","-583.97","(339.86)","-460.54","(206.32)","-11.90","(366.56)","-557.02","(484.55)","297.92","(722.09)","-1909.32","(1103.90)","-1909.32","(1103.90)"
