"Method","Mean_Abs_SMD","Max_Abs_SMD","Control","Treated"
"adap_weight_trunc.psid_plus_ebal_weight",0.184200526110783,0.371966784011785,88.7966148435715,445
"adap_weight_trunc.psid_plus_ipw_weight",0.150640320295201,0.409795396374715,45.378974634923,445
"adap_weight_trunc.psid_plus_opt_weight",4.01338232199263e-07,1.75774430934897e-06,27.577957649222,445
"adap_weight_trunc.psid_plus_overlap_weight",0.0903293338981702,0.293675197798485,252.675097739293,196.104650857948
"adap_weight_trunc.psid_plus_smr_weight",0.575381732404103,2.36546421864761,317.435519750471,38.330553093808
"All",NA,NA,2490,445
"at_perc_trunc.psid_plus_ebal_weight",0.280581852095038,0.601167604999773,182.620078498978,445
"at_perc_trunc.psid_plus_ipw_weight",0.287839352226055,0.698940175278185,143.906365218907,445
"at_perc_trunc.psid_plus_opt_weight",0.130433259831388,0.431005753742668,54.1560319904337,445
"at_perc_trunc.psid_plus_overlap_weight",0.0150253685303515,0.0563642079570454,215.80610006176,166.341709233578
"at_perc_trunc.psid_plus_smr_weight",1.10506201018077,4.55317125322995,2018.27181189563,227.636015474511
"caliper",0.132804100323262,0.344725082171336,17.2917665867306,416
"card",0.0520944566550377,0.0997948240905866,175,175
"cem",0.0715756466956789,0.551585353529229,36.6986449214534,101
"common_range",0.607140056695297,1.91604858793855,716,375
"crump",0.289478558127714,0.923330335378863,255,216
"cs",0.136342476936429,0.323051807498676,16.2845570052017,437
"ebal_weight",3.66571655516402e-06,1.13402802501629e-05,18.7475186337195,445
"entropy_common_range",0.0666293704373912,0.124226143702686,18.0154804539704,375
"entropy_crump",0.064226336191733,0.162449933918333,17.8456003728657,216
"entropy_ps_threshold",0.0983229549154167,0.191572847640655,56.2544905964035,169
"entropy_stuermer",0.390953971387358,1.12320594497959,30.1905504992007,10
"entropy_walker",0.258800633404379,0.734405988813102,81.5068171433311,30
"exact",3.5527136788005e-16,3.5527136788005e-15,5.2896174863388,22
"fix_max_value_trunc.psid_plus_ebal_weight",0.275180629058752,0.591338429540383,173.517679374049,445
"fix_max_value_trunc.psid_plus_ipw_weight",0.167420869156364,0.444671275686862,53.1299712982925,445
"fix_max_value_trunc.psid_plus_opt_weight",0.150277588780301,0.515076258659268,60.2483455817212,445
"fix_max_value_trunc.psid_plus_overlap_weight",1.44617160131175e-09,1.44518708111718e-08,210.598512540172,161.812909824613
"fix_max_value_trunc.psid_plus_smr_weight",1.06484065811947,4.40489174808423,1879.1143448067,196.18276803632
"gen_full",0.10866763387987,0.207945181956171,18.0217341062604,445
"genetic",0.046500059401419,0.266170772662778,18.2730460459537,445
"ipw_common_range",0.118474987471939,0.376895443108454,9.81947362199564,375
"ipw_crump",0.175094336619175,0.407595697770543,8.85747482339447,216
"ipw_ps_threshold",0.212309607599509,0.469957323423045,10.1114503109684,169
"ipw_stuermer",0.198857815026516,0.611062124852724,38.6094361144047,10
"ipw_walker",0.100361562278506,0.282892559130749,55.0857680767663,30
"ipw_weight",0.0974038873209317,0.269894856929128,9.9585676301884,445
"k2",0.111456361278929,0.260190347510426,20.8480286361004,445
"k3",0.108979317900135,0.277118394215922,23.1172579285297,445
"mahvars",0.0482512981496085,0.13233132372208,117,117
"nn",0.131545307650165,0.303450911313364,16.2222495289588,445
"opt_weight",4.01338232199263e-07,1.75774430934897e-06,27.577957649222,445
"optimal_full",0.121030334978943,0.269908582356569,15.9334776810367,445
"optimal_pair",0.504999604746437,1.27757747059807,445,445
"original",1.42590173104073,5.61295440142193,2490,445
"overlap_common_range",0.034641529264302,0.106261709835173,190.218148153981,156.846420460524
"overlap_crump",0.0704933987717656,0.262857974358061,137.861080247001,128.688922790891
"overlap_ps_threshold",0.0336737023140442,0.0800198848084631,216.537070558996,118.985749983731
"overlap_stuermer",0.248191664127417,0.742412274789347,48.4941171667291,9.0151639533746
"overlap_walker",0.135331548764935,0.374655682956907,117.402450925231,26.2683584912498
"overlap_weight",1.44617160131175e-09,1.44518708111718e-08,210.598512540172,161.812909824613
"profile",0.605631777600177,1.37546676242599,445,445
"ps_threshold",0.106585324040364,0.500790498331495,81,81
"smr_treated_common_range",0.72821428316212,3.73088782412625,40.7195822841034,4.79715516649313
"smr_treated_crump",0.113667444834087,0.224923286208223,28.4195067367307,55.5832587610039
"smr_treated_ps_threshold",0.290452735288358,0.878492387489875,801.254192390897,4.18344280900833
"smr_treated_stuermer",0.323844808757226,0.791973835915937,69.9534708824936,6.12134855585792
"smr_treated_walker",0.180215388118288,0.445335841592772,233.318736622764,10.4071904887417
"smr_weight",0.316897997924396,0.80200783814895,205.892544611779,5.00486192977302
"stuermer",0.191343732774843,0.526988678382972,72,10
"subcl",0.298906954423024,1.20993903002478,21.8339169673772,445
"walker",0.175667665581187,0.668557670441177,252,30
