"(A) LCS-Experimental","","(B) LCS-PSID-1","","(C) Top PSID-1: exact_common_range","","(D) Top PSID-1: genetic_stuermer","","(E) Top PSID-1: genetic_walker","","(F) Top PSID-1: cem_stuermer","","(G) Top PSID-1: optimal_pair_stuermer","","(H) Trimmed LCS-PSID-1-PLUS",""
"821.49","(307.89)","821.49","(307.89)","821.49","(307.89)","-1544.18","(384.81)","603.62","(516.92)","-568.99","(389.60)","603.62","(516.92)","603.62","(516.92)"
"821.49","(307.89)","-4172.18","(412.18)","1896.59","(742.01)","1252.15","(586.83)","1118.77","(493.08)","1572.74","(589.55)","489.81","(558.37)","-803.68","(422.28)"
"848.63","(303.41)","808.44","(389.48)","1899.42","(720.92)","1281.57","(570.78)","1101.51","(493.54)","1599.25","(585.23)","475.23","(530.79)","359.39","(414.17)"
"895.65","(230.21)","1128.29","(239.37)","1926.35","(426.26)","1321.44","(313.91)","1178.69","(241.79)","1596.95","(415.08)","523.97","(395.37)","608.26","(295.58)"
"878.31","(230.01)","937.89","(238.14)","1784.89","(413.97)","1162.30","(309.08)","1010.05","(238.81)","1539.04","(412.69)","347.85","(389.04)","419.06","(296.12)"
"1059.07","(320.55)","1036.86","(531.41)","1958.32","(820.67)","1067.63","(646.01)","764.72","(567.99)","1601.71","(694.28)","507.79","(598.28)","443.20","(519.34)"
"834.84","(303.54)","1021.17","(330.85)","1746.04","(602.31)","1812.75","(411.63)","1407.19","(320.08)","2017.28","(509.77)","-154.36","(590.78)","454.36","(401.98)"
"906.05","(313.86)","994.63","(478.86)","1974.91","(835.15)","1443.10","(584.30)","1059.90","(554.60)","1659.88","(632.83)","489.81","(558.37)","495.32","(457.22)"
"896.05","(304.69)","1216.52","(429.26)","1974.91","(835.15)","1443.10","(584.30)","1059.90","(554.60)","1659.88","(632.83)","489.81","(558.37)","670.20","(434.59)"
"896.09","(304.69)","1228.66","(429.73)","1962.35","(711.45)","1296.82","(597.80)","1210.21","(515.01)","1586.39","(591.58)","530.75","(548.98)","673.35","(435.61)"
"818.38","(307.47)","691.60","(394.15)","1869.72","(738.88)","1265.60","(590.00)","1087.84","(494.14)","1567.91","(590.68)","485.66","(557.66)","100.60","(432.68)"
"914.66","(316.70)","1058.28","(508.02)","1763.38","(828.91)","1066.81","(593.30)","840.91","(590.16)","1523.30","(615.58)","432.51","(563.07)","435.37","(459.72)"
"833.45","(317.61)","1127.15","(486.38)","1608.68","(890.33)","1139.16","(602.02)","1107.43","(647.19)","1665.47","(604.53)","400.41","(579.32)","400.39","(454.72)"
