"(A) LDW-Experimental","","(B) LDW-CPS-1","","(C) LDW-PSID-1","","(D) Top CPS-1: genetic_crump","","(E) Top CPS-1: cem_stuermer","","(F) Top CPS-1: k2_crump","","(G) Top CPS-1: cs_crump","","(H) Top CPS-1: nn_crump","","(I) Top PSID-1: genetic_walker","","(J) Top PSID-1: mahvars_walker","","(K) Top PSID-1: k2_walker","","(L) Top PSID-1: optimal_pair_stuermer","","(M) Top PSID-1: optimal_pair_walker","","(N) Trimmed LDW-CPS-1-PLUS","","(O) Trimmed LDW-PSID-1-PLUS",""
"1794.34","(670.82)","1794.34","(670.82)","1794.34","(670.82)","1115.83","(756.66)","-2010.83","(977.24)","1115.83","(756.66)","1115.83","(756.66)","1115.83","(756.66)","-6336.72","(1078.19)","-6336.72","(1078.19)","-6336.72","(1078.19)","-5162.17","(961.14)","-6336.72","(1078.19)","1911.04","(737.71)","306.29","(985.98)"
"1794.34","(670.82)","-8497.52","(581.92)","-15204.78","(655.91)","2097.59","(911.51)","3540.92","(1502.86)","1572.67","(867.14)","1525.33","(933.10)","2112.96","(953.72)","-3126.92","(1649.91)","-3746.73","(1606.17)","-1907.04","(1358.75)","-984.96","(1167.43)","-3063.53","(1391.53)","1483.82","(824.44)","-1505.24","(1219.89)"
"1670.71","(680.20)","1066.38","(626.85)","4.16","(854.15)","2209.49","(912.08)","2488.10","(1598.70)","1985.17","(876.69)","2060.01","(955.38)","2254.33","(994.23)","-2542.11","(1525.04)","-2955.41","(1445.85)","-1634.10","(1246.79)","-679.38","(1092.13)","-2458.62","(1183.22)","1751.16","(824.20)","-1939.59","(1154.45)"
"1706.20","(587.94)","1133.28","(624.26)","687.82","(635.26)","2188.29","(672.25)","1383.50","(1932.23)","2048.47","(679.74)","2408.32","(683.70)","2107.32","(694.42)","-2892.35","(1355.53)","-2593.79","(1446.15)","-1130.13","(1331.94)","-450.36","(936.57)","-1632.41","(1296.09)","1507.48","(672.08)","-1511.20","(900.46)"
"1799.75","(581.81)","1098.04","(629.63)","744.36","(634.10)","2239.43","(664.14)","3002.79","(1421.79)","1903.86","(666.70)","1820.06","(665.73)","2317.02","(662.28)","-2899.56","(1009.05)","-3403.07","(1076.62)","-1035.33","(1068.42)","-298.73","(838.78)","-2556.38","(1022.68)","1507.21","(664.96)","-1456.01","(797.20)"
"1757.17","(764.06)","1729.12","(815.38)","2255.47","(1403.83)","2440.30","(1097.27)","1216.31","(2178.03)","2304.78","(1010.85)","2027.88","(1194.88)","2513.23","(1153.12)","-3920.62","(1634.75)","-3424.78","(1691.29)","-1609.47","(1511.55)","-242.07","(1196.73)","-1541.93","(1490.18)","2137.90","(946.11)","-1564.93","(1209.89)"
"1873.75","(693.72)","1191.09","(739.06)","3093.02","(718.06)","2036.76","(810.93)","3410.00","(2053.18)","2305.56","(825.94)","1206.05","(830.76)","1559.69","(862.11)","-4811.55","(1287.64)","-4538.47","(1526.17)","-5366.87","(1596.83)","-584.01","(1127.31)","-3518.31","(1197.59)","878.34","(835.48)","-2430.15","(1272.65)"
"1790.66","(679.48)","1223.33","(684.66)","685.05","(899.39)","2625.08","(914.97)","2023.00","(1843.71)","2128.95","(962.74)","1789.78","(947.84)","2313.60","(976.06)","-2799.44","(1602.53)","-3746.73","(1606.17)","-2151.58","(1409.66)","-984.96","(1167.43)","-3063.53","(1391.53)","1382.32","(823.10)","-1985.31","(1250.72)"
"1709.55","(699.04)","1408.01","(654.96)","2437.70","(877.80)","2625.08","(914.97)","2023.00","(1843.71)","2128.95","(962.74)","1789.78","(947.84)","2313.60","(976.06)","-2799.44","(1602.53)","-3746.73","(1606.17)","-2151.58","(1409.66)","-984.96","(1167.43)","-3063.53","(1391.53)","1471.35","(813.29)","-1885.28","(1369.64)"
"1712.12","(699.26)","1406.27","(654.93)","2420.49","(876.85)","2202.41","(930.89)","1190.75","(2084.26)","1918.28","(878.07)","2217.16","(887.84)","2055.01","(985.22)","-2857.81","(1790.33)","-2602.35","(1505.39)","-1396.13","(1367.85)","-167.40","(1113.36)","-1837.12","(1474.37)","1472.12","(812.92)","-1776.73","(1551.89)"
"1814.98","(670.37)","207.06","(611.41)","-115.40","(884.52)","2164.99","(909.30)","3320.93","(1526.07)","1650.61","(872.36)","1467.89","(926.00)","2101.25","(950.48)","-3067.89","(1614.34)","-3168.03","(1330.24)","-2326.76","(1314.47)","-895.93","(1145.32)","-3130.95","(1349.25)","1510.78","(814.91)","-1559.00","(1126.52)"
"1718.35","(690.60)","1546.90","(713.24)","1387.93","(773.40)","2658.71","(905.87)","2568.16","(1695.94)","2212.75","(860.27)","2228.81","(910.37)","2532.29","(959.26)","-2914.40","(1556.75)","-3378.61","(1469.28)","-747.03","(1192.58)","-49.55","(1141.97)","-2275.64","(1378.77)","1408.05","(815.26)","-1928.77","(1175.70)"
"1831.33","(681.18)","1412.96","(690.23)","1324.99","(760.19)","2485.70","(968.22)","2635.80","(1677.75)","2350.13","(886.73)","1735.46","(974.62)","2228.93","(1013.07)","-3661.01","(1755.86)","-3578.38","(1441.91)","-934.16","(1248.54)","210.64","(1139.42)","-2381.84","(1397.79)","1649.66","(833.45)","-1817.01","(1184.81)"
