"(A) LDW-Experimental","","(B) LDW-CPS-1","","(C) LDW-PSID-1","","(D) Top CPS-1: genetic_crump","","(E) Top CPS-1: cem_stuermer","","(F) Top CPS-1: k2_crump","","(G) Top CPS-1: cs_crump","","(H) Top CPS-1: nn_crump","","(I) Top PSID-1: genetic_walker","","(J) Top PSID-1: mahvars_walker","","(K) Top PSID-1: k2_walker","","(L) Top PSID-1: optimal_pair_stuermer","","(M) Top PSID-1: optimal_pair_walker","","(N) Trimmed LDW-CPS-1-PLUS","","(O) Trimmed LDW-PSID-1-PLUS",""
"265.15","(305.00)","265.15","(305.00)","265.15","(305.00)","-891.68","(203.57)","-2306.65","(657.81)","-891.68","(203.57)","-891.68","(203.57)","-891.68","(203.57)","-3734.08","(803.52)","-3734.08","(803.52)","-3734.08","(803.52)","-3189.39","(667.03)","-3734.08","(803.52)","273.86","(334.27)","-210.15","(693.12)"
"265.15","(305.00)","-12118.75","(247.18)","-17531.28","(360.60)","-445.02","(267.17)","898.54","(799.10)","-527.59","(286.13)","-374.50","(253.68)","-279.48","(262.33)","-704.97","(1208.00)","-1001.79","(1107.56)","-840.48","(965.51)","-603.15","(714.29)","-366.14","(937.20)","-1456.55","(484.60)","-4670.77","(1057.12)"
"224.34","(218.33)","-1134.82","(272.44)","-2757.40","(589.02)","-190.25","(197.97)","-411.38","(389.31)","-262.15","(275.00)","-68.24","(216.21)","16.04","(203.27)","99.64","(962.31)","-349.26","(890.25)","-646.95","(895.88)","-933.17","(569.35)","-244.42","(776.82)","-1256.96","(329.96)","-3694.56","(852.84)"
"165.70","(284.98)","-1096.70","(395.18)","-2640.76","(367.46)","-152.56","(165.20)","-346.95","(1044.20)","-326.60","(152.45)","-64.64","(151.69)","-33.40","(157.88)","242.59","(1015.11)","-269.75","(1009.03)","-704.70","(893.62)","-519.99","(673.03)","170.29","(882.62)","-1232.17","(402.36)","-3528.62","(827.83)"
"115.67","(283.09)","-1590.61","(373.01)","-4290.47","(343.87)","-194.39","(156.34)","600.76","(802.77)","-313.01","(146.06)","-191.36","(140.05)","5.45","(149.18)","-478.97","(817.84)","-1042.58","(835.92)","-708.83","(775.13)","-561.38","(620.28)","-157.56","(768.11)","-1322.64","(363.31)","-3909.10","(667.37)"
"148.67","(227.58)","-1465.93","(351.78)","-1913.65","(805.37)","-207.23","(205.54)","-140.68","(368.44)","-143.07","(197.43)","-234.42","(232.03)","57.31","(207.58)","-123.41","(950.09)","-488.43","(887.94)","-758.12","(826.35)","-443.50","(767.98)","89.31","(930.28)","-1411.42","(357.45)","-3790.08","(929.82)"
"277.10","(299.90)","-1423.50","(416.96)","-2688.25","(503.26)","-678.19","(209.95)","1046.68","(752.97)","-321.10","(253.68)","-352.51","(195.80)","-85.24","(186.76)","-1515.81","(1241.00)","539.00","(931.21)","-974.36","(915.10)","-1277.67","(654.62)","-668.28","(988.40)","-1471.17","(445.71)","-5585.69","(1067.77)"
"180.76","(309.68)","-1552.48","(335.84)","-3224.79","(738.21)","-29.25","(232.05)","-153.02","(1091.15)","5.44","(238.85)","14.73","(251.60)","22.35","(305.75)","-284.74","(1095.25)","-1001.79","(1107.56)","-317.39","(872.37)","-603.15","(714.29)","-366.14","(937.20)","-1707.45","(500.96)","-4143.55","(1014.73)"
"188.34","(304.79)","-1227.83","(297.89)","-2282.31","(834.92)","-29.25","(232.05)","-153.02","(1091.15)","5.44","(238.85)","14.73","(251.60)","22.35","(305.75)","-284.74","(1095.25)","-1001.79","(1107.56)","-317.39","(872.37)","-603.15","(714.29)","-366.14","(937.20)","-1231.13","(468.41)","-3676.24","(1059.83)"
"189.20","(304.71)","-1228.49","(297.88)","-2250.80","(842.15)","-151.02","(235.34)","-468.67","(1454.91)","-317.76","(331.74)","-57.44","(222.22)","-10.74","(232.49)","208.94","(1036.29)","-388.42","(961.58)","-734.73","(967.96)","-465.62","(768.31)","9.95","(1012.29)","-1231.01","(468.56)","-3551.89","(1062.82)"
"267.63","(252.22)","-2250.46","(242.07)","-3510.17","(553.39)","-286.02","(227.36)","431.73","(844.17)","-458.77","(282.61)","-265.32","(233.76)","-146.75","(235.06)","-906.81","(1133.19)","-735.83","(922.90)","-829.79","(953.97)","-587.45","(690.66)","-273.87","(899.32)","-1401.40","(372.90)","-4431.04","(893.88)"
"82.43","(231.26)","-1285.84","(267.60)","-2408.26","(616.07)","-158.27","(199.69)","396.49","(823.79)","-209.65","(237.06)","-44.12","(216.07)","77.58","(195.15)","-490.30","(866.81)","-1181.99","(806.46)","-653.26","(854.13)","-612.14","(623.37)","-133.57","(841.58)","-1403.47","(363.24)","-3627.63","(812.35)"
"108.01","(233.22)","-1318.36","(276.40)","-2904.04","(648.78)","-199.68","(223.48)","644.50","(748.05)","-260.51","(269.45)","-32.76","(256.36)","117.28","(206.65)","-674.98","(1162.69)","-1019.83","(907.26)","-532.85","(986.52)","-484.50","(685.54)","-77.86","(937.10)","-1404.97","(404.34)","-4053.03","(890.84)"
