"(A) LDW-Experimental","","(B) LDW-CPS-1","","(C) LDW-PSID-1","","(D) Top CPS-1: genetic_ps_threshold","","(E) Top CPS-1: genetic_common_range","","(F) Top CPS-1: genetic_crump","","(G) Top CPS-1: nn_crump","","(H) Top CPS-1: caliper_crump","","(I) Top PSID-1: genetic_stuermer","","(J) Top PSID-1: mahvars_stuermer","","(K) Top PSID-1: k3_walker","","(L) Top PSID-1: cs_stuermer","","(M) Top PSID-1: optimal_pair_stuermer","","(N) Trimmed LDW-CPS-1-PLUS","","(O) Trimmed LDW-PSID-1-PLUS",""
"265.15","(305.00)","265.15","(305.00)","265.15","(305.00)","-12118.75","(247.18)","-5745.40","(254.14)","-1143.55","(207.71)","-1143.55","(207.71)","-1143.55","(207.71)","-3620.41","(611.15)","-3620.41","(611.15)","-2678.93","(813.41)","-3620.41","(611.15)","-3620.41","(611.15)","273.86","(334.27)","-210.15","(693.12)"
"265.15","(305.00)","-12118.75","(247.18)","-17531.28","(360.60)","-634.70","(437.58)","-649.79","(433.73)","-370.45","(278.34)","-535.25","(292.11)","-535.25","(292.11)","-263.48","(826.28)","-184.54","(748.27)","-284.71","(940.05)","237.43","(726.53)","-431.71","(665.86)","-1456.55","(484.60)","-4670.77","(1057.12)"
"69.27","(247.94)","660.83","(420.04)","2299.67","(909.35)","-209.03","(353.53)","-233.83","(347.13)","-160.26","(242.19)","-201.16","(263.95)","-201.16","(263.95)","-274.59","(767.40)","-174.78","(721.09)","-235.53","(918.05)","351.89","(750.60)","-202.01","(668.06)","-1168.37","(402.37)","-3607.58","(977.95)"
"19.66","(283.70)","799.37","(508.30)","4446.93","(739.98)","-189.23","(289.10)","-211.72","(289.65)","-185.93","(168.91)","-173.98","(171.66)","-173.98","(171.66)","-238.98","(625.06)","-198.02","(590.44)","-115.87","(893.57)","285.45","(561.54)","-197.62","(585.32)","-1105.84","(342.32)","-3272.83","(746.61)"
"34.24","(280.73)","-2093.85","(396.56)","-5025.62","(355.33)","-201.14","(276.64)","-191.50","(275.86)","-150.48","(163.15)","-252.76","(164.54)","-252.76","(164.54)","-326.01","(550.00)","-178.51","(548.20)","-434.51","(807.67)","304.28","(535.18)","-348.05","(534.90)","-1439.48","(341.72)","-4416.54","(527.36)"
"38.18","(251.82)","-1937.76","(375.30)","-2379.28","(867.21)","-322.51","(295.78)","-273.40","(289.77)","-327.83","(236.02)","-484.28","(287.79)","-484.28","(287.79)","-48.67","(708.04)","38.96","(600.49)","-69.55","(856.15)","132.47","(789.50)","-172.59","(734.61)","-1461.60","(361.61)","-3039.41","(963.34)"
"209.25","(323.78)","-2201.37","(468.30)","-3518.26","(580.22)","-357.21","(362.20)","-824.40","(384.98)","-495.33","(232.90)","-615.27","(269.57)","-615.27","(269.57)","-1285.58","(741.36)","-524.07","(744.95)","-348.29","(1031.57)","189.26","(615.97)","-418.49","(661.69)","-1507.16","(446.36)","-4028.46","(1046.46)"
"147.39","(317.66)","-2089.91","(363.80)","-3812.37","(845.02)","-19.31","(371.17)","-22.90","(369.34)","12.16","(242.12)","-34.41","(248.91)","-34.41","(248.91)","-194.61","(787.94)","-184.54","(748.27)","127.00","(863.09)","198.96","(746.17)","-431.71","(665.86)","-1829.47","(518.46)","-4439.35","(1050.34)"
"26.98","(333.87)","-2122.24","(327.83)","-3043.49","(962.24)","-19.31","(371.17)","-22.90","(369.34)","12.16","(242.12)","-34.41","(248.91)","-34.41","(248.91)","-194.61","(787.94)","-184.54","(748.27)","127.00","(863.09)","198.96","(746.17)","-431.71","(665.86)","-1119.71","(444.98)","-3416.15","(1020.14)"
"28.61","(333.77)","-2119.43","(327.76)","-3085.05","(960.59)","-183.20","(383.72)","-201.54","(382.94)","-180.83","(280.90)","-178.26","(308.29)","-178.26","(308.29)","-260.13","(776.17)","-256.43","(743.61)","-312.42","(912.01)","140.06","(867.18)","-186.17","(766.45)","-1119.15","(444.92)","-3315.62","(1022.71)"
"203.82","(271.39)","-635.94","(360.55)","-696.89","(827.83)","-547.43","(405.16)","-506.62","(402.91)","-306.94","(260.54)","-403.97","(273.64)","-403.97","(273.64)","-321.52","(820.23)","-239.58","(724.85)","-245.83","(936.30)","351.34","(710.34)","-553.40","(662.73)","-1366.91","(456.73)","-4649.46","(1025.22)"
"26.41","(243.94)","-1830.45","(286.30)","-2733.31","(741.88)","-103.89","(299.06)","-168.60","(299.06)","-141.06","(239.54)","-231.92","(283.88)","-231.92","(283.88)","-254.76","(719.79)","-181.04","(697.54)","-568.28","(840.13)","397.05","(768.95)","-193.26","(703.91)","-1535.14","(439.41)","-3871.33","(978.86)"
"81.29","(242.62)","-1899.32","(303.72)","-3235.78","(737.09)","-125.44","(355.56)","-261.00","(351.03)","-54.02","(242.49)","-333.26","(309.00)","-333.26","(309.00)","-391.03","(826.92)","-180.51","(802.29)","-586.79","(877.39)","572.57","(797.58)","-289.33","(708.59)","-1564.72","(483.69)","-4282.45","(1079.25)"
