"Method","Cor_re74_treat","Cor_re74_out","Cor_re74_re75"
"(A) LDW-Experimental",-0.0010535708763151,0.0853844480704955,0.655200646332821
"(B) LDW-CPS-1",-0.131858917112893,0.64032987971731,0.871926623134129
"(C) LDW-PSID-1",-0.32054987769356,0.703783391898082,0.855859175732586
"(D) Top CPS-1: genetic_crump",-0.0769506106078524,-0.0321025308913489,0.489679745753246
"(E) Top CPS-1: cem_stuermer",0.184295822903135,0.320895350493445,0.720810773176319
"(F) Top CPS-1: k2_crump",-0.0971369984756099,0.0157333707262083,0.375703452011153
"(G) Top CPS-1: cs_crump",-0.0925296180950313,-0.034249349673555,0.406912641063362
"(H) Top CPS-1: nn_crump",-0.0699564034594596,0.010404759963157,0.495732957956454
"(I) Top PSID-1: genetic_walker",-0.0610170631041259,0.43610699201836,0.582590222242054
"(J) Top PSID-1: mahvars_walker",-0.0602291302898622,0.523209586149209,0.617048984061806
"(K) Top PSID-1: k2_walker",-0.00812151023659489,0.335389268110945,0.490946701133399
"(L) Top PSID-1: optimal_pair_stuermer",0.0557158170611143,0.258002851456337,0.48096744385252
"(M) Top PSID-1: optimal_pair_walker",0.0297236931102002,0.380327939888656,0.486528154310627
"(N) Trimmed LDW-CPS-1-PLUS",-0.00679588990149678,0.0682709377959949,0.646014479854039
"(O) Trimmed LDW-PSID-1-PLUS",-0.0885653912172028,0.110313827803239,0.545171180420569
