"(A) NSW-Experimental","","(B) NSW-CPS1","","(C) NSW-PSID1","","(D) Top CPS1: cem_crump","","(E) Top CPS1: genetic_crump","","(F) Top CPS1: k3_walker","","(G) Top CPS1: nn_walker","","(H) Top CPS1: optimal_pair_walker","","(I) Top PSID1: cem_walker","","(J) Top PSID1: optimal_pair_walker","","(K) Top PSID1: subcl_stuermer","","(L) Top PSID1: optimal_full_stuermer","","(M) Top PSID1: stuermer","","(N) Trimmed NSW-CPS1-PLUS","","(O) Trimmed NSW-PSID1-PLUS",""
"886.30","(488.14)","886.30","(488.14)","886.30","(488.14)","-923.97","(554.49)","-923.97","(554.49)","-3258.75","(827.75)","-3258.75","(827.75)","-3258.75","(827.75)","-7095.39","(740.86)","-7095.39","(740.86)","-6492.78","(1037.70)","-6492.78","(1037.70)","-6492.78","(1037.70)","771.48","(488.82)","690.22","(678.86)"
"886.30","(488.14)","-8870.31","(408.30)","-15577.57","(508.12)","-140.47","(656.26)","102.76","(696.21)","-4433.57","(1039.25)","-3991.60","(1353.59)","-4306.49","(1326.76)","-5945.96","(1327.39)","-4170.14","(1445.75)","-6492.78","(1037.70)","-6492.78","(1037.70)","-6492.78","(1037.70)","-519.65","(578.61)","-3569.56","(1138.75)"
"812.52","(485.60)","-792.15","(479.67)","-1581.11","(718.80)","190.17","(641.12)","385.10","(667.05)","-3945.47","(1111.13)","-3540.45","(1265.37)","-3942.20","(1268.86)","-5362.30","(1379.80)","-3945.79","(1503.65)","-7633.86","(1480.74)","-7633.86","(1480.74)","-7633.86","(1480.74)","-336.84","(552.46)","-3579.07","(1270.85)"
"854.16","(413.47)","-726.42","(462.50)","-1215.01","(481.08)","472.84","(536.58)","475.67","(497.38)","-3715.14","(1181.76)","-3140.07","(1199.20)","-3542.00","(1214.52)","-5436.88","(1179.06)","-3920.45","(786.12)","-7882.69","(1674.56)","-7882.69","(1674.56)","-7882.69","(1674.56)","-323.38","(461.86)","-3476.55","(644.84)"
"839.13","(408.30)","-969.43","(451.72)","-2823.28","(454.43)","435.54","(521.08)","430.57","(485.53)","-3309.79","(1044.46)","-2794.39","(1013.05)","-3505.17","(973.07)","-5699.50","(1047.45)","-4243.07","(633.77)","-7776.57","(1335.00)","-7728.21","(1332.20)","-7728.21","(1332.20)","-230.93","(438.23)","-3810.59","(548.81)"
"776.30","(553.82)","-290.38","(585.14)","-1122.98","(1210.25)","781.24","(716.32)","667.34","(815.54)","-3650.92","(1410.58)","-3567.86","(1578.12)","-4200.19","(1655.28)","-4024.55","(1391.50)","-5502.45","(1772.23)","-7947.96","(1870.22)","-7947.96","(1870.22)","-7947.96","(1870.22)","-115.33","(637.40)","-4531.07","(1382.58)"
"485.21","(533.70)","-374.13","(545.22)","-1832.89","(734.81)","94.28","(716.64)","-978.97","(650.61)","-4481.37","(1289.00)","-3803.35","(1286.30)","-6215.25","(1421.83)","-6498.44","(1349.20)","-4980.77","(1591.36)","-5258.00","(1759.86)","-5263.55","(1759.62)","-5263.55","(1759.62)","-855.73","(606.82)","-4498.77","(1142.52)"
"816.41","(500.17)","-552.85","(485.11)","-2027.40","(973.28)","744.96","(771.60)","340.25","(756.55)","-4185.39","(1033.77)","-3869.31","(1341.71)","-4306.49","(1326.76)","-5372.67","(1557.17)","-4170.14","(1445.75)","-7228.67","(1105.74)","-6833.09","(1264.67)","-7074.64","(1023.37)","-399.70","(571.92)","-4280.99","(1427.67)"
"852.06","(495.44)","-566.41","(476.37)","-718.81","(888.13)","744.96","(771.60)","340.25","(756.55)","-4185.39","(1033.77)","-3869.31","(1341.71)","-4306.49","(1326.76)","-5372.67","(1557.17)","-4170.14","(1445.75)","-7228.67","(1105.74)","-6833.09","(1264.67)","-7731.08","(1087.73)","-310.73","(578.63)","-3403.78","(1336.51)"
"850.96","(495.52)","-566.82","(476.39)","-691.85","(889.21)","475.50","(654.18)","476.33","(677.48)","-3688.57","(1040.24)","-3137.78","(1330.22)","-3523.50","(1316.98)","-5650.71","(1630.04)","-3906.86","(1611.61)","-7761.73","(1096.15)","-7761.73","(1096.15)","-7761.73","(1096.15)","-310.83","(578.64)","-3390.08","(1355.57)"
"853.87","(487.71)","-1477.44","(465.36)","-2196.75","(683.50)","-141.89","(655.35)","45.79","(688.79)","-4472.77","(1032.30)","-4185.88","(1342.93)","-4356.75","(1295.59)","-5789.04","(1337.54)","-4091.70","(1449.52)","-6860.36","(1150.17)","-6860.36","(1150.17)","-6860.36","(1150.17)","-516.31","(569.48)","-3770.37","(1163.15)"
"855.58","(499.08)","-266.34","(512.48)","-1799.75","(873.71)","550.93","(666.87)","428.07","(674.18)","-3151.28","(1073.35)","-2592.28","(1333.53)","-3557.39","(1363.61)","-5498.54","(1399.71)","-4710.16","(2213.23)","-7831.78","(1313.93)","-7831.78","(1313.93)","-7831.78","(1313.93)","-265.19","(553.21)","-4328.45","(1576.70)"
"877.36","(502.50)","-374.41","(504.11)","-1691.75","(773.39)","527.21","(676.37)","200.59","(722.90)","-3152.25","(1155.21)","-2462.45","(1287.05)","-3288.58","(1351.73)","-5978.39","(1459.60)","-3912.87","(1718.32)","-8250.59","(1417.91)","-8250.59","(1417.91)","-8250.59","(1417.91)","-247.39","(560.93)","-3903.01","(1249.99)"
