"Method","Mean_Abs_SMD","Max_Abs_SMD","OVL"
"ps_threshold",0.794510961921034,2.1712710462793,0.27862512066293
"common_range",0.540214856918974,1.20391766762819,0.17266723160538
"stuermer",0.157579370819283,0.529119326720304,0.689009987608229
"walker",0.175512013154816,0.538034470767501,0.496449892147987
"crump",0.164150367932468,0.423815594700298,0.646586714533216
"nn_ps_threshold",0.0226128808412542,0.0941658439941636,0.710241087579852
"nn_common_range",0.0528952500109659,0.253794574187479,0.712522801919105
"nn_stuermer",0.105802682910098,0.208055218492264,0.781566510139877
"nn_walker",0.0521360596839138,0.154124154903637,0.828545769129611
"nn_crump",0.0126330958329369,0.059545601220093,0.774571250090741
"k2_ps_threshold",0.0186663342888813,0.0561470139323489,0.674768640750207
"k2_common_range",0.0250224633675369,0.0873677750427131,0.664670601617324
"k2_stuermer",0.107666990676365,0.295148100651816,0.825764534204874
"k2_walker",0.0342847057681978,0.102749436602425,0.827617933394257
"k2_crump",0.0111960264057904,0.02758368033791,0.778381854576661
"k3_ps_threshold",0.019284630393401,0.0374313426215661,0.635892594343499
"k3_common_range",0.0212175467606995,0.0454883132306921,0.630416825381114
"k3_stuermer",0.124492118104637,0.266117139931966,0.815602418710113
"k3_walker",0.0333057403513354,0.0700481085608449,0.836812542263609
"k3_crump",0.0184497855671698,0.0775467583111767,0.749338237428699
"caliper_ps_threshold",0.0236171803228141,0.0975155431346561,0.709602970310602
"caliper_common_range",0.0549739013293736,0.260209868986257,0.711640365763492
"caliper_stuermer",0.11131437784432,0.284403863186885,0.776231614865772
"caliper_walker",0.0521360596839138,0.154124154903637,0.828545769129611
"caliper_crump",0.0126330958329369,0.059545601220093,0.774571250090741
"cs_ps_threshold",0.0386210226314126,0.184806763346834,0.700543924434519
"cs_common_range",0.0484481262425895,0.18152839146261,0.697902807695995
"cs_stuermer",0.0782516474511195,0.257434531332957,0.740580119967299
"cs_walker",0.0796916020417105,0.273998497606467,0.791798883056875
"cs_crump",0.0378200142421579,0.135763970781813,0.784864117394895
"mahvars_ps_threshold",0.0270164088446499,0.0906409193526707,0.800529717156744
"mahvars_common_range",0.0244476977978064,0.0805697060912631,0.798396423736133
"mahvars_stuermer",0.0169363467668618,0.0686492083554548,0.513220224726978
"mahvars_walker",0.0219200474055068,0.108235661400987,0.611416976109231
"mahvars_crump",0.0415465369789326,0.139642211526296,0.808847838740983
"optimal_pair_ps_threshold",0.0547681553565958,0.105582839932335,0.776702864019892
"optimal_pair_common_range",0.0178583779616251,0.0419026251879002,0.779556571382019
"optimal_pair_stuermer",0.14761367224278,0.360408343866139,0.732060301774645
"optimal_pair_walker",0.0604615942696605,0.156060721089796,0.83281753777664
"optimal_pair_crump",0.0306574582265067,0.113926654364034,0.808059561475055
"optimal_full_ps_threshold",0.0256049082053488,0.0823445008051058,0.27862512066293
"optimal_full_common_range",0.0229134246453521,0.0757174112655159,0.17266723160538
"optimal_full_stuermer",0.047405179477978,0.115111233123634,0.689009987608229
"optimal_full_walker",0.0553083306983318,0.156736107493727,0.496449892147987
"optimal_full_crump",0.0117113316074526,0.0436563332812087,0.646586714533216
"genetic_ps_threshold",0.00191631818863557,0.00926165262564269,0.815653778817569
"genetic_common_range",0.00233941391508211,0.0129663136759011,0.820114919274617
"genetic_stuermer",0.0100938322343019,0.0343246041777274,0.437937564840126
"genetic_walker",0.00359848216483678,0.0151026504280446,0.608926954439319
"genetic_crump",0.00654239043392531,0.0270661815712138,0.900513977483741
"exact_ps_threshold",1.38777878078145e-17,1.11022302462516e-16,0.665171349553167
"exact_common_range",1.38777878078145e-17,1.11022302462516e-16,0.667440713107623
"exact_walker",0,0,0.0495676516316842
"exact_crump",2.22044604925031e-16,1.77635683940025e-15,0.77877470492636
"cem_ps_threshold",0.00633528305421225,0.0402720525305989,0.346941519338329
"cem_common_range",0.00633528305421225,0.0402720525305989,0.347032358335376
"cem_stuermer",0.0237619669304592,0.0842286790814498,0.765261991731792
"cem_walker",0.00757663706331007,0.0466025705097331,0.739951671762804
"cem_crump",0.0064540830919908,0.0358863911449349,0.873647639258476
"subcl_ps_threshold",0.200742459129082,0.55506563481438,0.27862512066293
"subcl_common_range",0.125486348431868,0.261218662243265,0.17266723160538
"subcl_stuermer",0.0845458006315869,0.239461143370227,0.689009987608229
"subcl_walker",0.0390850748970497,0.0936033360310497,0.496449892147987
"subcl_crump",0.0316223789618661,0.0978060815300801,0.646586714533216
