"Method","Mean_Abs_SMD","Max_Abs_SMD","OVL"
"ps_threshold",0.919954027514502,3.10565138367877,0.168836677931106
"common_range",0.538740292993304,1.52051809838699,0.250294152800146
"stuermer",0.0812744887554788,0.406062841775928,0.890848027431824
"walker",0.261289770902233,0.57207032832986,0.460454964002384
"crump",0.299449003161188,0.768451428874059,0.470530207064399
"nn_ps_threshold",0.0491033901075521,0.186739081972873,0.669969560636466
"nn_common_range",0.0406852451466166,0.150503501280249,0.663395352758138
"nn_stuermer",0.0976112613066966,0.1875,0.835809808644823
"nn_walker",0.047774370381712,0.124535415460675,0.838167326009819
"nn_crump",0.0596467563645632,0.132261884426939,0.693935428279323
"k2_ps_threshold",0.0461950348506306,0.171413990139233,0.597960626098407
"k2_common_range",0.0212955176740239,0.0481611204096797,0.608656841435795
"k2_stuermer",0.0786872430939999,0.140625,0.869011059864135
"k2_walker",0.0270361827753162,0.0532549661581001,0.74650033007661
"k2_crump",0.0213385538679202,0.0478928091579222,0.617021093602041
"k3_ps_threshold",0.0369216208619225,0.0993292989217408,0.565138319161654
"k3_common_range",0.0256658186255762,0.0729105850646541,0.567541871092386
"k3_stuermer",0.0699255299443306,0.135416666666667,0.869374383515745
"k3_walker",0.0378446198414917,0.0946469157501125,0.699454241928353
"k3_crump",0.0249363237552767,0.0619464558335229,0.581991427567847
"caliper_ps_threshold",0.0491033901075521,0.186739081972873,0.669969560636466
"caliper_common_range",0.0406852451466166,0.150503501280249,0.663395352758138
"caliper_stuermer",0.0872743442955152,0.178571428571429,0.861132986688704
"caliper_walker",0.0508330551870868,0.178527543970077,0.857390564768443
"caliper_crump",0.0596467563645632,0.132261884426939,0.693935428279323
"cs_ps_threshold",0.0249290803593162,0.0572519083969466,0.688989703201182
"cs_common_range",0.0457453184243984,0.14519566787632,0.685539173686829
"cs_stuermer",0.146136617649593,0.438757559946989,0.75197110072574
"cs_walker",0.0439801190020479,0.110649327856515,0.852913273352405
"cs_crump",0.0268740567961422,0.0942278800603268,0.700787319086009
"mahvars_ps_threshold",0.265967796316247,0.819739222817227,0.523986786273978
"mahvars_common_range",0.206988339168708,0.64449826194854,0.528011064398176
"mahvars_stuermer",0.03321874294887,0.115688028501647,0.618206004748927
"mahvars_walker",0.0495876478270371,0.230546815519875,0.870678073394789
"mahvars_crump",0.258017750711707,0.694125372076317,0.494453776847037
"optimal_pair_ps_threshold",0.284107004697345,1.01620335479895,0.526901624362044
"optimal_pair_common_range",0.28550516604082,1.01286831268209,0.526982195266137
"optimal_pair_stuermer",0.0988011295429106,0.192813380836079,0.766839232183029
"optimal_pair_walker",0.0577652650512896,0.139479665315956,0.893192052336879
"optimal_pair_crump",0.351501330495645,1.29938722801161,0.500530731690155
"optimal_full_ps_threshold",0.0374995207152805,0.151831027042603,0.168836677931106
"optimal_full_common_range",0.0356759258074384,0.122081889074803,0.250294152800146
"optimal_full_stuermer",0.0595556226728227,0.120019271911354,0.890848027431824
"optimal_full_walker",0.028434720048275,0.0574627981779289,0.460454964002384
"optimal_full_crump",0.0442253088999272,0.130685797995257,0.470530207064399
"genetic_ps_threshold",0.0174377231009422,0.0602014005120999,0.672871387094979
"genetic_common_range",0.0150763838622649,0.0675439232667844,0.684100251167352
"genetic_stuermer",0.0405099335168671,0.15254832417496,0.591016685080817
"genetic_walker",0.0208969135439075,0.059776999421124,0.887691461523489
"genetic_crump",0.0207223455150673,0.087675666381604,0.686943835213093
"exact_ps_threshold",4.61436444609831e-16,3.5527136788005e-15,0.751629825754878
"exact_common_range",4.61436444609831e-16,3.5527136788005e-15,0.743900003026458
"exact_walker",0,0,NA
"exact_crump",0,0,0.659339646355254
"cem_ps_threshold",0.0437500065393852,0.333816208630765,0.542272766389219
"cem_common_range",0.0205485950593434,0.144995895259466,0.619662346185222
"cem_stuermer",0.0182641882307845,0.0689320793293969,0.309806325031415
"cem_walker",0.00903863319570453,0.0398080929114752,0.89648206486886
"cem_crump",0.00467696618653624,0.0228903178748346,0.793427775295422
"subcl_ps_threshold",0.24590234002946,0.959004658695081,0.168836677931106
"subcl_common_range",0.11904601650849,0.429549665339711,0.250294152800146
"subcl_stuermer",0.0579072610981369,0.184664982079952,0.890848027431824
"subcl_walker",0.0630430981728343,0.15568265553837,0.460454964002384
"subcl_crump",0.073427526800072,0.236482540532164,0.470530207064399
